Word,Category
performance,performance
power,performance
torque,performance
speed,performance
acceleration,performance
look,design
style,design
design,design
appearance,design
aesthetic,design
seat,comfort
space,comfort
comfort,comfort
seating,comfort
legroom,comfort
system,technology
technology,technology
dashboard,technology
fuel,fuel_efficiency
economy,fuel_efficiency
mpg,fuel_efficiency
mileage,fuel_efficiency
efficiency,fuel_efficiency
assist,safety
safety,safety
control,handling
braking,safety
stability,safety
airbags,safety
ride,handling
steering,handling
handling,handling
quality,build_quality
build,build_quality
reliability,build_quality
material,build_quality
durability,build_quality
